rank,category,name,action,edge_pct,capital,horizon,liquidity,risks,url
11,A. Prediction-market structural (robust),[polymarket] Highest temperature in Hong Kong on August 18?,"Buy NO on all 11 outcomes (~$9.97/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.025",0.25,$9.97/set,event resolution,"24h vol $1,729",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-hong-kong-on-august-18-2026
12,A. Prediction-market structural (robust),[polymarket] Fed Decision in December?,"Buy NO on all 5 outcomes (~$3.99/set). Mutually exclusive => at most one YES, so payout ≥ $4/set; YES bids sum to $1.009",0.23,$3.99/set,event resolution,"24h vol $5,321",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/fed-decision-in-december-20260729232808632
13,A. Prediction-market structural (robust),[kalshi] Fantasy Football: 2026-27 Season Top QB,"Buy NO on all 25 outcomes (~$23.95/set). Mutually exclusive => at most one YES, so payout ≥ $24/set; YES bids sum to $1.050",0.21,$23.95/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.070/set eat into this,kalshi.com — event ticker `KXRANKLISTFFQB-27`
14,A. Prediction-market structural (robust),[polymarket] Highest temperature in Buenos Aires on August 17?,"Buy NO on all 11 outcomes (~$9.98/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.020",0.2,$9.98/set,event resolution,"24h vol $3,897",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-buenos-aires-on-august-17-2026
15,A. Prediction-market structural (robust),[polymarket] Highest temperature in Jeddah on August 18?,"Buy NO on all 11 outcomes (~$9.98/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.020",0.2,$9.98/set,event resolution,"24h vol $1,425",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-jeddah-on-august-18-2026
16,A. Prediction-market structural (robust),[kalshi] 2028 Copa America Champion,"Buy NO on all 22 outcomes (~$20.96/set). Mutually exclusive => at most one YES, so payout ≥ $21/set; YES bids sum to $1.040",0.19,$20.96/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.069/set eat into this,kalshi.com — event ticker `KXCOPAAMERICA-28`
17,A. Prediction-market structural (robust),[kalshi] Oscar Winner: Best Actor,"Buy NO on all 23 outcomes (~$21.96/set). Mutually exclusive => at most one YES, so payout ≥ $22/set; YES bids sum to $1.040",0.18,$21.96/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.070/set eat into this,kalshi.com — event ticker `KXOSCARACTO-27`
18,A. Prediction-market structural (robust),[kalshi] EFL Championship Champion,"Buy NO on all 24 outcomes (~$22.96/set). Mutually exclusive => at most one YES, so payout ≥ $23/set; YES bids sum to $1.040",0.17,$22.96/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.070/set eat into this,kalshi.com — event ticker `KXEFLCHAMPIONSHIP-27`
19,A. Prediction-market structural (robust),[polymarket] NBA: 2027 Eastern Conference Champion,"Buy NO on all 18 outcomes (~$16.97/set). Mutually exclusive => at most one YES, so payout ≥ $17/set; YES bids sum to $1.029",0.17,$16.97/set,event resolution,"24h vol $1,843",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/nba-2027-eastern-conference-champion-20260624155838911
20,A. Prediction-market structural (robust),[kalshi] Who will be Trump's next Press Secretary?,"Buy NO on all 25 outcomes (~$23.97/set). Mutually exclusive => at most one YES, so payout ≥ $24/set; YES bids sum to $1.032",0.13,$23.97/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.069/set eat into this,kalshi.com — event ticker `KXNEXTPRESSEC-29JAN21`
21,A. Prediction-market structural (robust),[polymarket] Highest temperature in Karachi on August 17?,"Buy NO on all 11 outcomes (~$9.99/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.013",0.13,$9.99/set,event resolution,"24h vol $5,214",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-karachi-on-august-17-2026
22,A. Prediction-market structural (robust),[polymarket] Highest temperature in Austin on August 17?,"Buy NO on all 11 outcomes (~$9.99/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.013",0.13,$9.99/set,event resolution,"24h vol $2,065",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-austin-on-august-17-2026
23,A. Prediction-market structural (robust),[kalshi] What will be the largest source of global primary energy consumption in 2030?,"Buy NO on all 10 outcomes (~$8.99/set). Mutually exclusive => at most one YES, so payout ≥ $9/set; YES bids sum to $1.010",0.11,$8.99/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.064/set eat into this,kalshi.com — event ticker `KXPRIMEENGCONSUMPTION-30`
24,A. Prediction-market structural (robust),[polymarket] Anthropic IPO Closing Market Cap,"Buy NO on all 10 outcomes (~$8.99/set). Mutually exclusive => at most one YES, so payout ≥ $9/set; YES bids sum to $1.009",0.1,$8.99/set,event resolution,"24h vol $15,429",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/anthropic-ipo-closing-market-cap-higher-strikes
25,A. Prediction-market structural (robust),[kalshi] Defensive Rookie of the Year Winner?,"Buy NO on all 22 outcomes (~$20.98/set). Mutually exclusive => at most one YES, so payout ≥ $21/set; YES bids sum to $1.020",0.1,$20.98/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.068/set eat into this,kalshi.com — event ticker `KXNFLDROTY-27`
26,A. Prediction-market structural (robust),[polymarket] Pro Football: 2027 Champion,"Buy NO on all 33 outcomes (~$31.97/set). Mutually exclusive => at most one YES, so payout ≥ $32/set; YES bids sum to $1.026",0.08,$31.97/set,event resolution,"24h vol $243,400",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/pro-football-2027-champion-20260729185915366
27,A. Prediction-market structural (robust),[polymarket] NHL: 2027 Western Conference Champion,"Buy NO on all 20 outcomes (~$18.99/set). Mutually exclusive => at most one YES, so payout ≥ $19/set; YES bids sum to $1.014",0.07,$18.99/set,event resolution,24h vol $405,displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/nhl-2027-western-conference-champion-20260630185319860
28,A. Prediction-market structural (robust),[polymarket] Highest temperature in Atlanta on August 17?,"Buy NO on all 11 outcomes (~$9.99/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.007",0.07,$9.99/set,event resolution,"24h vol $10,824",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-atlanta-on-august-17-2026
29,A. Prediction-market structural (robust),[polymarket] Pro Football: 2026 MVP Winner,"Buy NO on all 40 outcomes (~$38.97/set). Mutually exclusive => at most one YES, so payout ≥ $39/set; YES bids sum to $1.027",0.07,$38.97/set,event resolution,"24h vol $5,212",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/pro-football-2026-mvp-winner
30,A. Prediction-market structural (robust),[polymarket] NBA: 2027 Champion,"Buy NO on all 36 outcomes (~$34.98/set). Mutually exclusive => at most one YES, so payout ≥ $35/set; YES bids sum to $1.022",0.06,$34.98/set,event resolution,"24h vol $75,083",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/nba-2027-champion
31,A. Prediction-market structural (robust),[polymarket] Highest temperature in Lucknow on August 17?,"Buy NO on all 11 outcomes (~$9.99/set). Mutually exclusive => at most one YES, so payout ≥ $10/set; YES bids sum to $1.006",0.06,$9.99/set,event resolution,"24h vol $5,320",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/highest-temperature-in-lucknow-on-august-17-2026
32,A. Prediction-market structural (robust),[kalshi] Pro Football Rushing Yards Leader,"Buy NO on all 25 outcomes (~$23.99/set). Mutually exclusive => at most one YES, so payout ≥ $24/set; YES bids sum to $1.010",0.04,$23.99/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.068/set eat into this,kalshi.com — event ticker `KXLEADERNFLRUSHYDS-27`
33,A. Prediction-market structural (robust),[kalshi] Men's 2027 College Basketball Champion,"Buy NO on all 73 outcomes (~$71.97/set). Mutually exclusive => at most one YES, so payout ≥ $72/set; YES bids sum to $1.025",0.03,$71.97/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.071/set eat into this,kalshi.com — event ticker `KXMARMAD-27`
34,A. Prediction-market structural (robust),[kalshi] Fantasy Football: 2026-27 Season Top D/ST,"Buy NO on all 32 outcomes (~$30.99/set). Mutually exclusive => at most one YES, so payout ≥ $31/set; YES bids sum to $1.010",0.03,$30.99/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.068/set eat into this,kalshi.com — event ticker `KXRANKLISTFFDST-27`
35,A. Prediction-market structural (robust),[polymarket] Top Spotify Artist 2026,"Buy NO on all 46 outcomes (~$44.99/set). Mutually exclusive => at most one YES, so payout ≥ $45/set; YES bids sum to $1.006",0.01,$44.99/set,event resolution,"24h vol $1,956",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/top-spotify-artist-2026
36,B. Prediction-market conditional (exhaustiveness required),[polymarket] Highest temperature in Seattle on August 17?,Buy YES on all 11 outcomes for $0.979/set; pays $1 IF one listed outcome must win,2.15,$0.979/set,event resolution,"24h vol $4,814","ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",polymarket.com/event/highest-temperature-in-seattle-on-august-17-2026
37,B. Prediction-market conditional (exhaustiveness required),[polymarket] KATSEYE 'Wild' First Week Album Sales? (Higher Brackets),Buy YES on all 6 outcomes for $0.982/set; pays $1 IF one listed outcome must win,1.83,$0.982/set,event resolution,"24h vol $1,528","ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",polymarket.com/event/katseye-wild-first-week-album-sales-higher-brackets-20260814110622100
38,B. Prediction-market conditional (exhaustiveness required),[polymarket] Emmys 2026: Outstanding lead actor in a limited or anthology series or movie,Buy YES on all 5 outcomes for $0.977/set; pays $1 IF one listed outcome must win,2.35,$0.977/set,event resolution,24h vol $664,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",polymarket.com/event/emmys-2026-outstanding-lead-actor-in-a-limited-or-anthology-series-or-movie-20260710152618149
39,B. Prediction-market conditional (exhaustiveness required),[kalshi] US real GDP growth in 2036?,Buy YES on all 14 outcomes for $0.980/set; pays $1 IF one listed outcome must win,2.04,$0.980/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXGDPYEAR-36`
40,B. Prediction-market conditional (exhaustiveness required),[kalshi] Who will be the next CEO of Goldman Sachs?,Buy YES on all 6 outcomes for $0.910/set; pays $1 IF one listed outcome must win,9.89,$0.910/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXNEWROLEGS-35DEC`
41,B. Prediction-market conditional (exhaustiveness required),[kalshi] Who will be Trump's next Secretary of State?,Buy YES on all 5 outcomes for $0.960/set; pays $1 IF one listed outcome must win,4.17,$0.960/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXNEXTSTATE-29`
42,B. Prediction-market conditional (exhaustiveness required),[kalshi] 2028 Republican Presidential ticket,Buy YES on all 25 outcomes for $0.988/set; pays $1 IF one listed outcome must win,1.21,$0.988/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXRTICKET-28NOV07`
43,B. Prediction-market conditional (exhaustiveness required),[kalshi] 2028 Republican VP nominee,Buy YES on all 22 outcomes for $0.854/set; pays $1 IF one listed outcome must win,17.1,$0.854/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXVPRESNOMR-28`
44,B. Prediction-market conditional (exhaustiveness required),[kalshi] New York Democratic Senate nominee in 2028?,Buy YES on all 3 outcomes for $0.880/set; pays $1 IF one listed outcome must win,13.64,$0.880/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXSENATENYD-28`
45,B. Prediction-market conditional (exhaustiveness required),[kalshi] 2028 Green Presidential nominee,Buy YES on all 6 outcomes for $0.759/set; pays $1 IF one listed outcome must win,31.75,$0.759/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXPRESNOMG-28`
46,B. Prediction-market conditional (exhaustiveness required),[kalshi] 2028 Presidential matchup,Buy YES on all 16 outcomes for $0.777/set; pays $1 IF one listed outcome must win,28.7,$0.777/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXPRESMATCHUP-28NOV07`
47,B. Prediction-market conditional (exhaustiveness required),[kalshi] Next Moldovan presidential election winner?,Buy YES on all 7 outcomes for $0.950/set; pays $1 IF one listed outcome must win,5.26,$0.950/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXMOLDOVAPRES-28`
48,B. Prediction-market conditional (exhaustiveness required),[kalshi] Philippine Senate election winner?,Buy YES on all 2 outcomes for $0.880/set; pays $1 IF one listed outcome must win,13.64,$0.880/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXPHILIPPINESSENATE-28`
49,B. Prediction-market conditional (exhaustiveness required),[kalshi] Turkish presidential election: first round winner?,Buy YES on all 3 outcomes for $0.949/set; pays $1 IF one listed outcome must win,5.37,$0.949/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXPRESTURKEYR1-28`
50,B. Prediction-market conditional (exhaustiveness required),[kalshi] 2028 London mayoral election winner?,Buy YES on all 8 outcomes for $0.914/set; pays $1 IF one listed outcome must win,9.41,$0.914/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXLONDONMAYOR-28MAY01`
51,B. Prediction-market conditional (exhaustiveness required),[kalshi] Taiwan presidential election winner?,Buy YES on all 3 outcomes for $0.830/set; pays $1 IF one listed outcome must win,20.48,$0.830/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXPRESTAIWAN-28`
52,B. Prediction-market conditional (exhaustiveness required),[kalshi] Fed decision in Jan 2028?,Buy YES on all 5 outcomes for $0.920/set; pays $1 IF one listed outcome must win,8.7,$0.920/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXFEDDECISION-28JAN`
53,B. Prediction-market conditional (exhaustiveness required),[kalshi] Who will be the next Deputy Attorney General?,Buy YES on all 6 outcomes for $0.840/set; pays $1 IF one listed outcome must win,19.05,$0.840/set,event resolution,24h vol n/a,"ONLY an arb if the outcome list is exhaustive — if none listed wins, whole set is lost. Verify rules first",kalshi.com — `KXNEXTDEPUTYAG-28JAN01`
54,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] BICO_USDT funding -1.216%/8h,"Long BICO_USDT perp on gate, hedge with spot short/margin — shorts pay longs 1.216% every 8h (3.65%/day)",3.647,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $262,180,960",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
55,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] ACE_USDT funding -0.586%/4h,"Long ACE_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.586% every 4h (3.52%/day)",3.518,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $492,849,317",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
56,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] WAL_USDT funding -0.417%/4h,"Long WAL_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.417% every 4h (2.50%/day)",2.502,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $35,750,399",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
57,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] HOME_USDT funding -0.351%/4h,"Long HOME_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.351% every 4h (2.11%/day)",2.106,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $407,717,583",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
58,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] COW_USDT funding -0.084%/1h,"Long COW_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.084% every 1h (2.02%/day)",2.016,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $224,980,094",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
59,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] ALICE_USDT funding -0.589%/8h,"Long ALICE_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.589% every 8h (1.77%/day)",1.766,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $138,468,059",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
60,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] COTI_USDT funding -0.207%/4h,"Long COTI_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.207% every 4h (1.24%/day)",1.24,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $189,712,565",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
61,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] XAI_USDT funding -0.134%/4h,"Long XAI_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.134% every 4h (0.80%/day)",0.805,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $109,390,148",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
62,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] ESPORTS_USDT funding +0.125%/4h,"Buy spot, short ESPORTS_USDT perp on gate — collect +0.125% every 4h (+0.75%/day)",0.751,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $328,296,175",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
63,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] BROCCOLIF3B_USDT funding +0.236%/8h,"Buy spot, short BROCCOLIF3B_USDT perp on gate — collect +0.236% every 8h (+0.71%/day)",0.709,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $126,827,563",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
64,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] BMT_USDT funding -0.112%/4h,"Long BMT_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.112% every 4h (0.67%/day)",0.674,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $173,363,799",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
65,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] IN_USDT funding +0.095%/4h,"Buy spot, short IN_USDT perp on gate — collect +0.095% every 4h (+0.57%/day)",0.568,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $501,185,066",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
66,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] TAC_USDT funding +0.084%/4h,"Buy spot, short TAC_USDT perp on gate — collect +0.084% every 4h (+0.50%/day)",0.503,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $81,473,318",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
67,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] RAVE_USDT funding +0.079%/4h,"Buy spot, short RAVE_USDT perp on gate — collect +0.079% every 4h (+0.47%/day)",0.474,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $966,999,943",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
68,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] BTR_USDT funding +0.158%/8h,"Buy spot, short BTR_USDT perp on gate — collect +0.158% every 8h (+0.47%/day)",0.474,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $248,111,272",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
69,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] CAP_USDT funding -0.067%/4h,"Long CAP_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.067% every 4h (0.40%/day)",0.401,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $237,945,080",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
70,"C. Perp funding-rate carry (delta-neutral, single venue)",[gate] PROM_USDT funding -0.016%/1h,"Long PROM_USDT perp on gate, hedge with spot short/margin — shorts pay longs 0.016% every 1h (0.39%/day)",0.394,any; 2x notional (both legs),per funding interval; rates mean-revert in hours-days,"perp 24h vol ≈ $233,596,598",rate can flip sign next interval; liquidation risk on the perp leg; entry/exit costs 2 spreads + 4 fees,gate futures
